CODIGO;CLIENTE;Valor Total; Acrescimo; Taxas Marketplace; Desconto;Valor Recebido; Forma de Pagamento; Canal;Data
01042026;Cliente Diversos;704,25;0;0;0;704,25;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;0;0;0;0;0;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;797,81;0;0;0;797,81;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;85,4;0;0;0;85,4;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;289,8;0;0;0;289,8;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;1500;0;0;0;1500;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;139,9;0;0;0;139,9;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;64,95;0;0;0;64,95;PIX;LOJA;01/04/2026
01042026;Cliente Diversos;339,9;0;0;0;339,9;PIX;LOJA;01/04/2026
02042026;Cliente Diversos;279,9;0;0;0;279,9;PIX;LOJA;02/04/2026
02042026;Cliente Diversos;289,9;0;0;0;289,9;PIX;LOJA;02/04/2026
02042026;Cliente Diversos;359,75;0;0;0;359,75;PIX;LOJA;02/04/2026
02042026;Cliente Diversos;299,9;0;0;0;299,9;PIX;LOJA;02/04/2026
02042026;Cliente Diversos;99,9;0;0;0;99,9;PIX;LOJA;02/04/2026
02042026;Cliente Diversos;89,9;0;0;0;89,9;PIX;LOJA;02/04/2026
03042026;Cliente Diversos;789,4;0;0;0;789,4;PIX;LOJA;03/04/2026
03042026;Cliente Diversos;179,9;0;0;0;179,9;PIX;LOJA;03/04/2026
03042026;Cliente Diversos;419,6;0;0;0;419,6;PIX;LOJA;03/04/2026
03042026;Cliente Diversos;239,84;0;0;0;239,84;PIX;LOJA;03/04/2026
03042026;Cliente Diversos;89,9;0;0;0;89,9;PIX;LOJA;03/04/2026
03042026;Cliente Diversos;609,8;0;0;0;609,8;PIX;LOJA;03/04/2026
04042026;Cliente Diversos;357,81;0;0;0;357,81;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;939,7;0;0;0;939,7;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;419,8;0;0;0;419,8;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;0;0;0;0;0;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;559,9;0;0;0;559,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;699,9;0;0;0;699,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;219,9;0;0;0;219,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;599,9;0;0;0;599,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;0;0;0;0;0;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;620,55;0;0;0;620,55;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;295,76;0;0;0;295,76;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;359,8;0;0;0;359,8;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;919,5;0;0;0;919,5;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;219,9;0;0;0;219,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;719,9;0;0;0;719,9;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;239,8;0;0;0;239,8;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;326,52;0;0;0;326,52;PIX;LOJA;04/04/2026
04042026;Cliente Diversos;249,8;0;0;0;249,8;PIX;LOJA;04/04/2026
05042026;Cliente Diversos;179,8;0;0;0;179,8;PIX;LOJA;05/04/2026
05042026;Cliente Diversos;370,3;0;0;0;370,3;PIX;LOJA;05/04/2026
05042026;Cliente Diversos;129,9;0;0;0;129,9;PIX;LOJA;05/04/2026
05042026;Cliente Diversos;229,9;0;0;0;229,9;PIX;LOJA;05/04/2026
05042026;Cliente Diversos;1043,55;0;0;0;1043,55;PIX;LOJA;05/04/2026
06042026;Cliente Diversos;4678,7;0;0;0;4678,7;PIX;LOJA;06/04/2026
06042026;Cliente Diversos;449,8;0;0;0;449,8;PIX;LOJA;06/04/2026
07042026;Cliente Diversos;179,9;0;0;0;179,9;PIX;LOJA;07/04/2026
07042026;Cliente Diversos;788,72;0;0;0;788,72;PIX;LOJA;07/04/2026
07042026;Cliente Diversos;179,91;0;0;0;179,91;PIX;LOJA;07/04/2026
